 序号 开课学期 修读性质 课程性质 课程类别 课程编码 课程名称 学分 总学时 课堂学时 实践课时 专题讲座 周学时 开课单位 考核方式 备注 是否学位课 学时单位 录成绩学期 所属分组  操作 
  43 2016-2017-2 必修 实践 专基 2105404 C语言课程设计 2 2 0 2 0 0 计算机科学与工程学院 考查   否 周 2016-2017-2     
  44 2016-2017-1 必修 理论 公基 1112110 大学英语（1） 3 48 48 0 0 4 外国语学院 考试   是 学时 2016-2017-1     
  45 2018-2019-1 必修 实践 专业 2105216 计算机网络B课程设计 2 2 0 2 0 0 计算机科学与工程学院 考查   否 周 2018-2019-1     
  46 2018-2019-1 必修 理论 专业 1105211 编译原理 3 48 48 0 0 4 计算机科学与工程学院 考试   否 学时 2018-2019-1     
  47 2016-2017-2 必修 理论 专基 1105255 数据结构A 5 80 64 16 0 0 计算机科学与工程学院 考试   是 学时 2016-2017-2     
  48 2016-2017-1 必修 理论 公基 1323101 军事理论 1 30 0 14 16 0 军事教研室 考查   否 学时 2016-2017-1     
  49 2017-2018-2 必修 理论 公基 1117108 大学体育(4) 1 36 24 12 0 0 体育学院 考试   否 学时 2017-2018-2     
  50 2017-2018-2 必修 理论 专业 1105263 数据库系统A 3 48 40 8 0 0 计算机科学与工程学院 考试   是 学时 2017-2018-2     

 
  
